Track name,Artist name,Album,Playlist name,Type,ISRC
The Wisp Sings,Winter Aid,The Wisp Sings,Favorite Songs,Favorite,IEJIQ1300001
The Scientist,Coldplay,A Rush of Blood to the Head,Favorite Songs,Favorite,GBAYE0200772
Fix You,Coldplay,X&Y,Favorite Songs,Favorite,GBAYE0500605
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,Favorite Songs,Favorite,GBAYE0800265
Talk To Myself,Avicii,Stories,Favorite Songs,Favorite,CHB701400192
Broken Arrows,Avicii,Stories,Favorite Songs,Favorite,CHB701400188
Trouble,Avicii,Stories,Favorite Songs,Favorite,CHB701400203
Hymn for the Weekend,Coldplay,A Head Full of Dreams,Favorite Songs,Favorite,GBAYE1500979
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,Favorite Songs,Favorite,GBAYE1500981
Up&Up,Coldplay,A Head Full of Dreams,Favorite Songs,Favorite,GBAYE1500987
Buckskin Stallion Blues,Amy Annelle,"Three Billboards Outside Ebbing, Missouri (Original Motion Picture Soundtrack)",Favorite Songs,Favorite,USCXG1200240
Stay Alive,José González,Stay Alive (From The Secret Life Of Walter Mitty),Favorite Songs,Favorite,USFM91300095
Little Giant,Roo Panes,Little Giant,Favorite Songs,Favorite,GB5UQ1400015
Flume,Bon Iver,"For Emma, Forever Ago",Favorite Songs,Favorite,US38Y0811501
Stay With Me,NO,"Bands Under the Radar, Vol. 8: Songs About Love & Seduction",Favorite Songs,Favorite,TCADJ1716209
Normal Song,Perfume Genius,Put Your Back N 2 It,Favorite Songs,Favorite,GB7TY1102002
Love & Hate,Michael Kiwanuka,Love & Hate,Favorite Songs,Favorite,GBUM71600930
His Master's Voice,Monsters Of Folk,"Three Billboards Outside Ebbing, Missouri (Original Motion Picture Soundtrack)",Favorite Songs,Favorite,USM880900090
Stay Alive,José González,The Secret Life Of Walter Mitty (Music From And Inspired By The Motion Picture),Favorite Songs,Favorite,USFM91300095
lovely (with Khalid),Billie Eilish,lovely (with Khalid),Favorite Songs,Favorite,USUM71804190
ocean eyes,Billie Eilish,dont smile at me,Favorite Songs,Favorite,US23A1500056
Something Just Like This,The Chainsmokers,Memories...Do Not Open,Favorite Songs,Favorite,USQX91700278
A Sky Full of Stars,Coldplay,Ghost Stories,Favorite Songs,Favorite,GBAYE1400217
I Need My Girl,The National,Trouble Will Find Me,Favorite Songs,Favorite,GBAFL1300064
How You Like Me Now? - Raffertie Remix,The Heavy,How You Like Me Now? (Raffertie Remix),Favorite Songs,Favorite,GBCFB1403001
Way down We Go,KALEO,A/B,Favorite Songs,Favorite,USAT21502122
Kids in Love (feat. The Night Game),Kygo,Kids in Love,Favorite Songs,Favorite,SEBGA1700442
I See You (feat. Billy Raffoul),Kygo,Kids in Love,Favorite Songs,Favorite,SEBGA1700448
Never Let You Go (feat. John Newman),Kygo,Kids in Love,Favorite Songs,Favorite,SEBGA1700443
Thread of Clouds,Blue Dot Sessions,Migration,Favorite Songs,Favorite,ushm81825700
Restless Wind,Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",Favorite Songs,Favorite,GBMQN1500032
"Sometimes It's Something, Sometimes It's Nothing at All",Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",Favorite Songs,Favorite,GBMQN1900001
Rosie,Passenger,"Sometimes It's Something, Sometimes It's Nothing at All",Favorite Songs,Favorite,GBMQN1900002
Heart's on Fire,Passenger,Whispers,Favorite Songs,Favorite,GBMQN1400003
